,a,b,Clicked,Color,Link Color
0,C1,Friday,190,#262C46,#FFE873
1,C1,Monday,201,#F27420,#FFE873
2,C1,Saturday,122,#4994CE,#FFE873
3,C1,Sunday,93,#FABC13,#FFE873
4,C1,Thursday,178,#7FC241,#FFE873
5,C1,Tuesday,100,#D3D3D3,#FFE873
6,C1,Wednesday,247,#646464,#FFE873
7,C2,Friday,203,#262C46,#FFE873
8,C2,Monday,172,#F27420,#FFE873
9,C2,Saturday,124,#4994CE,#FFE873
10,C2,Sunday,90,#FABC13,#FFE873
11,C2,Thursday,155,#7FC241,#FFE873
12,C2,Tuesday,110,#D3D3D3,#FFE873
13,C2,Wednesday,235,#646464,#FFE873
14,C3,Friday,185,#262C46,#FFE873
15,C3,Monday,188,#F27420,#FFE873
16,C3,Saturday,110,#4994CE,#FFE873
17,C3,Sunday,76,#FABC13,#FFE873
18,C3,Thursday,139,#7FC241,#FFE873
19,C3,Tuesday,99,#D3D3D3,#FFE873
20,C3,Wednesday,239,#646464,#FFE873
21,C4,Friday,178,#262C46,#FFE873
22,C4,Monday,214,#F27420,#FFE873
23,C4,Saturday,119,#4994CE,#FFE873
24,C4,Sunday,89,#FABC13,#FFE873
25,C4,Thursday,150,#7FC241,#FFE873
26,C4,Tuesday,114,#D3D3D3,#FFE873
27,C4,Wednesday,213,#646464,#FFE873
0,Friday,0,16,#262C46,#FFE873
1,Friday,1,7,#262C46,#FFE873
2,Friday,2,2,#262C46,#FFE873
3,Friday,3,4,#262C46,#FFE873
4,Friday,4,4,#262C46,#FFE873
5,Friday,5,12,#262C46,#FFE873
6,Friday,6,24,#262C46,#FFE873
7,Friday,7,30,#262C46,#FFE873
8,Friday,8,49,#262C46,#FFE873
9,Friday,9,58,#262C46,#FFE873
10,Friday,10,44,#262C46,#FFE873
11,Friday,11,40,#262C46,#FFE873
12,Friday,12,31,#262C46,#FFE873
13,Friday,13,52,#262C46,#FFE873
14,Friday,14,30,#262C46,#FFE873
15,Friday,15,28,#262C46,#FFE873
16,Friday,16,33,#262C46,#FFE873
17,Friday,17,43,#262C46,#FFE873
18,Friday,18,38,#262C46,#FFE873
19,Friday,19,45,#262C46,#FFE873
20,Friday,20,46,#262C46,#FFE873
21,Friday,21,44,#262C46,#FFE873
22,Friday,22,40,#262C46,#FFE873
23,Friday,23,36,#262C46,#FFE873
24,Monday,0,15,#F27420,#FFE873
25,Monday,1,13,#F27420,#FFE873
26,Monday,2,4,#F27420,#FFE873
27,Monday,3,3,#F27420,#FFE873
28,Monday,4,7,#F27420,#FFE873
29,Monday,5,5,#F27420,#FFE873
30,Monday,6,17,#F27420,#FFE873
31,Monday,7,32,#F27420,#FFE873
32,Monday,8,47,#F27420,#FFE873
33,Monday,9,59,#F27420,#FFE873
34,Monday,10,57,#F27420,#FFE873
35,Monday,11,51,#F27420,#FFE873
36,Monday,12,30,#F27420,#FFE873
37,Monday,13,30,#F27420,#FFE873
38,Monday,14,47,#F27420,#FFE873
39,Monday,15,41,#F27420,#FFE873
40,Monday,16,45,#F27420,#FFE873
41,Monday,17,32,#F27420,#FFE873
42,Monday,18,39,#F27420,#FFE873
43,Monday,19,41,#F27420,#FFE873
44,Monday,20,47,#F27420,#FFE873
45,Monday,21,40,#F27420,#FFE873
46,Monday,22,51,#F27420,#FFE873
47,Monday,23,22,#F27420,#FFE873
48,Saturday,0,22,#4994CE,#FFE873
49,Saturday,1,13,#4994CE,#FFE873
50,Saturday,2,2,#4994CE,#FFE873
51,Saturday,3,4,#4994CE,#FFE873
52,Saturday,4,3,#4994CE,#FFE873
53,Saturday,5,3,#4994CE,#FFE873
54,Saturday,6,8,#4994CE,#FFE873
55,Saturday,7,22,#4994CE,#FFE873
56,Saturday,8,35,#4994CE,#FFE873
57,Saturday,9,37,#4994CE,#FFE873
58,Saturday,10,36,#4994CE,#FFE873
59,Saturday,11,33,#4994CE,#FFE873
60,Saturday,12,35,#4994CE,#FFE873
61,Saturday,13,27,#4994CE,#FFE873
62,Saturday,14,27,#4994CE,#FFE873
63,Saturday,15,16,#4994CE,#FFE873
64,Saturday,16,19,#4994CE,#FFE873
65,Saturday,17,20,#4994CE,#FFE873
66,Saturday,18,19,#4994CE,#FFE873
67,Saturday,19,14,#4994CE,#FFE873
68,Saturday,20,14,#4994CE,#FFE873
69,Saturday,21,25,#4994CE,#FFE873
70,Saturday,22,17,#4994CE,#FFE873
71,Saturday,23,24,#4994CE,#FFE873
72,Sunday,0,13,#FABC13,#FFE873
73,Sunday,1,10,#FABC13,#FFE873
74,Sunday,2,2,#FABC13,#FFE873
75,Sunday,3,1,#FABC13,#FFE873
76,Sunday,4,1,#FABC13,#FFE873
77,Sunday,5,3,#FABC13,#FFE873
78,Sunday,6,5,#FABC13,#FFE873
79,Sunday,7,15,#FABC13,#FFE873
80,Sunday,8,20,#FABC13,#FFE873
81,Sunday,9,19,#FABC13,#FFE873
82,Sunday,10,28,#FABC13,#FFE873
83,Sunday,11,25,#FABC13,#FFE873
84,Sunday,12,15,#FABC13,#FFE873
85,Sunday,13,25,#FABC13,#FFE873
86,Sunday,14,17,#FABC13,#FFE873
87,Sunday,15,17,#FABC13,#FFE873
88,Sunday,16,15,#FABC13,#FFE873
89,Sunday,17,18,#FABC13,#FFE873
90,Sunday,18,16,#FABC13,#FFE873
91,Sunday,19,15,#FABC13,#FFE873
92,Sunday,20,17,#FABC13,#FFE873
93,Sunday,21,20,#FABC13,#FFE873
94,Sunday,22,21,#FABC13,#FFE873
95,Sunday,23,10,#FABC13,#FFE873
96,Thursday,0,11,#7FC241,#FFE873
97,Thursday,1,5,#7FC241,#FFE873
98,Thursday,2,6,#7FC241,#FFE873
99,Thursday,3,6,#7FC241,#FFE873
100,Thursday,4,3,#7FC241,#FFE873
101,Thursday,5,2,#7FC241,#FFE873
102,Thursday,6,10,#7FC241,#FFE873
103,Thursday,7,20,#7FC241,#FFE873
104,Thursday,8,42,#7FC241,#FFE873
105,Thursday,9,47,#7FC241,#FFE873
106,Thursday,10,34,#7FC241,#FFE873
107,Thursday,11,36,#7FC241,#FFE873
108,Thursday,12,28,#7FC241,#FFE873
109,Thursday,13,37,#7FC241,#FFE873
110,Thursday,14,28,#7FC241,#FFE873
111,Thursday,15,35,#7FC241,#FFE873
112,Thursday,16,38,#7FC241,#FFE873
113,Thursday,17,38,#7FC241,#FFE873
114,Thursday,18,31,#7FC241,#FFE873
115,Thursday,19,31,#7FC241,#FFE873
116,Thursday,20,35,#7FC241,#FFE873
117,Thursday,21,39,#7FC241,#FFE873
118,Thursday,22,33,#7FC241,#FFE873
119,Thursday,23,27,#7FC241,#FFE873
120,Tuesday,0,5,#D3D3D3,#FFE873
121,Tuesday,1,5,#D3D3D3,#FFE873
122,Tuesday,2,7,#D3D3D3,#FFE873
123,Tuesday,3,1,#D3D3D3,#FFE873
124,Tuesday,4,5,#D3D3D3,#FFE873
125,Tuesday,5,3,#D3D3D3,#FFE873
126,Tuesday,6,4,#D3D3D3,#FFE873
127,Tuesday,7,7,#D3D3D3,#FFE873
128,Tuesday,8,14,#D3D3D3,#FFE873
129,Tuesday,9,18,#D3D3D3,#FFE873
130,Tuesday,10,28,#D3D3D3,#FFE873
131,Tuesday,11,20,#D3D3D3,#FFE873
132,Tuesday,12,21,#D3D3D3,#FFE873
133,Tuesday,13,22,#D3D3D3,#FFE873
134,Tuesday,14,22,#D3D3D3,#FFE873
135,Tuesday,15,18,#D3D3D3,#FFE873
136,Tuesday,16,28,#D3D3D3,#FFE873
137,Tuesday,17,24,#D3D3D3,#FFE873
138,Tuesday,18,25,#D3D3D3,#FFE873
139,Tuesday,19,30,#D3D3D3,#FFE873
140,Tuesday,20,35,#D3D3D3,#FFE873
141,Tuesday,21,32,#D3D3D3,#FFE873
142,Tuesday,22,32,#D3D3D3,#FFE873
143,Tuesday,23,17,#D3D3D3,#FFE873
144,Wednesday,0,26,#646464,#FFE873
145,Wednesday,1,17,#646464,#FFE873
146,Wednesday,2,9,#646464,#FFE873
147,Wednesday,3,5,#646464,#FFE873
